Hinrichtung_f1	Die langen Gefängnisstrafen Auspeitschungen und 	Hinrichtungenkeywordtag 	der `` Verderber auf Erden '' konnten jedenfalls die Unruhen nicht eindämmen 
Hinrichtung_f1	Die Junta von Abacha hatte einstimmig der 	Hinrichtungkeywordtag 	des Schriftstellers Ken Saro-Wiwa und acht seiner Mitstreiter zugestimmt 
Hinrichtung_f1	Angehörige der Verurteilten sagten der Nachrichtenagentur afp am Freitag vier Henker seien bereits in Port-Harcourt eingetroffen wo die Menschenrechtler auf ihrekeywordtag 	Hinrichtungkeywordtag 	warten 
Hinrichtung_f1	Die Repressionen gegen Dissidenten hätten zugenommen es gebe eine erschreckende Zahl von 	Hinrichtungenkeywordtag 	
Hinrichtung_f1	Das britische Außenministerium erklärte mit den 	Hinrichtungenkeywordtag 	habe Nigeria gegen seine Verpflichtung aus internationalem Recht verstoßen faire Prozesse und ein Recht auf Berufung zu gewähren 
Hinrichtung_f1	Ein Shell-Sprecher äußerte in London `` tiefes Bedauern '' über die 	Hinrichtungenkeywordtag 	
Hinrichtung_f1	Mit diplomatischen und wirtschaftlichen Strafen gegen Nigerias Militärregime haben Staaten weltweit auf die 	Hinrichtungkeywordtag 	des Schriftstellers und Bürgerrechtlers Ken Saro-Wiwa und acht seiner Mitstreiter reagiert 
Hinrichtung_f1	London wolle seine EU-Partner bitten sich dem Schritt anzuschließen sagte Major in Auckland und schloß weitere Strafmaßnahmen aus Protest gegen die kaltblütige `` provokative '' 	Hinrichtungkeywordtag 	Saro-Wiwas und seiner Mitstreiter nicht aus 
Hinrichtung_f1	Die Deutsche Shell AG wies Forderungen nach einem Rückzug des Ölkonsortiums von Shell Agip und Elf aus Nigeria nach der 	Hinrichtungkeywordtag 	zurück 
Hinrichtung_f1	Die Nachricht von der 	Hinrichtungkeywordtag 	die die Commonwealth-Teilnehmer am Morgen nach dem Eröffnungs-Bankett erreichte kam als Schock 
Hinrichtung_f1	Auch die betroffenen Ölkonzerne allen voran Shell sind nach Expertenansicht keineswegs gewillt über den `` zutiefst bedauerten '' 	Hinrichtungenkeywordtag 	ihre kommerziellen Interessen in Frage zu stellen 
Hinrichtung_f1	Im grellen Lichte der nigerianischenkeywordtag 	Hinrichtungenkeywordtag 	ist auf dem Commonwealth-Gipfel in Neuseeland begreiflicherweise der Rest der Tagesordnung im Halbschatten verhandelt worden 
Hinrichtung_f1	Nigeria so sagte der britische Außenminister Rifkind nach den 	Hinrichtungenkeywordtag 	von Port Harcourt müsse erkennen daß es zum Paria der internationalen Gemeinschaft geworden sei 
Hinrichtung_f1	Der Erdöl-Konzern Shell jedenfalls hat zwar die 	Hinrichtungenkeywordtag 	bedauert mochte aber die Zeitungsmeldung daß er am Mittwoch einen Vier-Milliarden-Dollar-Vertrag über die Ausbeutung von nigerianischen Gasvorkommen unterzeichnen werde nicht dementieren 
Hinrichtung_f1	Vier Milliarden Dollar die britische Regierung wird sich diesem Geschäft nicht wegen neun 	Hinrichtungenkeywordtag 	in den Weg stellen wollen 
Hinrichtung_f1	Junta in Nigeria gibt 	Hinrichtungkeywordtag 	jetzt zu 
Hinrichtung_f1	Das Militärregime in Lagos hat am Montag erstmals offiziell die 	Hinrichtungkeywordtag 	des nigerianischen Dichters Ken Saro-Wiwa und acht weiterer Menschenrechtler vom Volk der Ogoni eingeräumt 
