Samstagf1	Bei Sprengstoffanschlägen haben am 	Samstagkeywordtag 	in der nordspanischen Stadt Fuenterrabia Unbekannte sieben Autos zerstört 
Samstagf1	Wie am 	Samstagkeywordtag 	bekannt wurde entdeckten Mitglieder eines parlamentarischen Untersuchungsausschusses Belege für Geldüberweisungen von Mitarbeitern des brasilianischen Unternehmers Paulo Cesar Farias an Collors Privatsekretärin Ana Acioli 
Samstagf1	In Anspielung an die Ablehnung des Vertrages mit dem östlichen Nachbarn durch die Regierung im Freistaat sagte er am 	Samstagkeywordtag 	im oberfränkischen Wunsiedel Hadern dürfe nicht die Chancen der Zusammenarbeit mit den Nachbarn im Osten verbauen 
Samstagf1	In dem Kriegsgebiet BergKarabach in Aserbaidschan haben aserbaidschanische Truppen am 	Samstagkeywordtag 	abend die strategisch bedeutende Stadt Mardakert im Norden der armenischen Enklave erobert 
Samstagf1	Bei neuen Kämpfen in Südossetien wurden laut ItarTass in der Nacht zum 	Samstagkeywordtag 	vier Menschen getötet und 17 verletzt 
Samstagf1	Der  29 Kongreß  der KPdSU fand am 	Samstagkeywordtag 	in Puschkino nördlich von Moskau statt 
Samstagf1	Als Grund nannte die dortige Atombehörde am 	Samstagkeywordtag 	das Ergebnis einer Stichprobe in einem AKW nahe Taipeh 
Samstagf1	Nach dem Senat sprach am 	Samstagkeywordtag 	auch die Abgeordnetenkammer dem Koalitionskabinett des sozialistischen Ministerpräsidenten Giuliano Amato mit 330 gegen 280 Stimmen das Vertrauen aus 
Samstagf1	Bei einem Bombenanschlag sind am 	Samstagkeywordtag 	in der libanesischen Stadt Dschunije zwei Menschen ums Leben gekommen und drei weitere verletzt worden 
Samstagf1	Die Erklärung vom 	Samstagkeywordtag 	legte allerdings den Schluß nahe daß Boumaraf nicht alleine gehandelt hat 
Samstagf1	Östlich der Hauptstadt Algier wurden am 	Samstagkeywordtag 	fünf Polizisten in ihren Streifenwagen von Unbekannten erschossen berichtete der algerische Rundfunk 
Samstagf1	Schäuble sagte am 	Samstagkeywordtag 	im Sender Freies Berlin die Union wolle  in der Fortsetzung der Kooperation mit den anderen europäischen Partnern Großbritannien Spanien Italien auf dem Stand der jetzigen Entwicklung zu einem billigeren in seinen Anforderungen kostengünstigeren Flugzeug kommen  
Samstagf1	Das mexikanische Gericht kam nach Zeitungsberichten vom 	Samstagkeywordtag 	zur Auffassung es gebe  hinreichende Beweise  daß die drei mexikanischen Polizisten sowohl an der Entführung wie an der Auslieferung des Arztes an die USDrogenbekämpfungsbehörde DEA beteiligt waren 
Samstagf1	Nachdem ein deutsches Transportflugzeug am 	Samstagkeywordtag 	in der umkämpften bosnischen Hauptstadt gelandet war sollte ein zweites am Sonntag abend eintreffen 
Samstagf1	Die Entscheidung für den Bundeswehreinsatz hatte Außenminister Klaus Kinkel FDP zusammen mit Verteidigungsminister Volker Rühe CDU in der Nacht zum 	Samstagkeywordtag 	getroffen 
Samstagf1	Am 	Samstagkeywordtag 	war unter gefährlichen Bedingungen die erste Maschine der Bundeswehr mit Hilfsgütern auf dem weitgehend zerstörten Flugplatz von Sarajewo gelandet 
Samstagf1	Bauern besetzen am 	Samstagkeywordtag 	und Sonntag an mehreren Punkten die BahnStrecke ParisMarseille 
Samstagf1	Die srilankische Luftwaffe habe am 	Samstagkeywordtag 	drei Fahrzeuge der tamilischen Rebellenbewegung  Befreiungstiger von Tamil Eelam  LTTE bombardiert 
Samstagf1	Die ägpytische Polizei hat am 	Samstagkeywordtag 	in Kenah in Oberägypten 67 moslemische Fundamentalisten festgenommen und eine große Zahl Waffen nebst Munition beschlagnahmt berichtete die Presse des Landes am Sonntag 
Samstagf1	Die Delegierten des diesjährigen Parteikongresses der am 	Samstagkeywordtag 	hinter verschlossenen Türen im Beisein von rund hundert Delegierten begonnen hatte hatten Gorbatschow in Abwesenheit aus der Partei ausgeschlossen 
Samstagf1	Bei Raketenangriffen auf die afghanische Hauptstadt Kabul am 	Samstagkeywordtag 	sind mindestens 100 Menschen getötet und 300 weitere verletzt worden 
Samstagf1	Dutzende von Raketen waren ab 	Samstagkeywordtag 	auf Kabul abgefeuert worden 
Samstagf1	Am 	Samstagkeywordtag 	war zunächst berichtet worden die UsbekenKämpfer Dostams hätten versucht dem von der Hezbe Islami gestellten künftigen Ministerpräsidenten Abdul Sabur Fareed den Zugang nach Kabul zu blockieren 
Samstagf1	Die Leiterin einer UNInspektionsdelegation Karen Jansen teilte am 	Samstagkeywordtag 	in Bagdad mit Gerät und Anlagen die primär der Produktion von chemischen Waffen gedient hätten seien vernichtet 
Samstagf1	Ihr Team habe am 	Samstagkeywordtag 	ihre Aufgabe die Zerstörung dieser Anlagen zu überwachen abgeschlossen 
Samstagf1	Der Präsident war am 	Samstagkeywordtag 	in Moskau mit dem Geschäftsführenden Direktor des Internationalen Währungsfonds IWF Michel Camdessus zusammengetroffen 
Samstagf1	Unter dem Motto  500 Jahre Kolonialismus sind 500 Jahre zuviel  haben am 	Samstagkeywordtag 	in München rund 15 000 Demonstranten aus ganz Deutschland gegen den westlichen Wirtschaftsgipfel protestiert der am heutigen Montag in der bayerischen Landeshauptstadt beginnt 
Samstagf1	Am 	Samstagkeywordtag 	saß deshalb der mittlerweile zum einflußreichen Landtagsfraktionschef avancierte Oettinger auf einem Podium neben Peter Glotz SPD Fritz Kuhn Grüne und dem FDPMdB Wolfgang Weng 
Samstagf1	Sieben von acht Parteien aus der ehemaligen SolidarnoscBewegung einigten sich am 	Samstagkeywordtag 	auf die Kandidatur der 46jährigen Posener Juristin Hanna Suchocka die der  Demokratischen Union  von Tadeusz Mazowiecki angehört 
Samstagf1	Staatspräsident Lech Walesa teilte am 	Samstagkeywordtag 	über einen Sprecher mit er habe  keine Einwände  gegen die Kandidatur 
Samstagf1	Am 	Samstagkeywordtag 	hatte eine Demonstration der GegengipfelOrganisationen in München mit etwa 15 000 Teilnehmern trotz Behinderungen durch ein massives Polizeiaufgebot einen weitgehend friedlichen Verlauf genommen 
Samstagf1	In Belgrad gingen am 	Samstagkeywordtag 	abend erneut etwa 100 000 Menschen auf die Straße um den Rücktritt des serbischen Präsidenten Slobodan Milosevic zu fordern 
Samstagf1	Nach Angaben der Polizei vom Montag fand der blutigste Überfall in der Ostprovinz Natal statt wo Unbekannte am 	Samstagkeywordtag 	auf ein MinibusTaxi feuerten und dabei sechs Schwarze erschossen 
Samstagf1	Die rund 8000 Zollbeamten Portugals haben am Montag eine Streikwoche bis zum 	Samstagkeywordtag 	um Mitternacht begonnen mit der sie gegen den Verlust ihrer Arbeitsplätze nach Abschaffung der Binnengrenzen in der EG ab 1993 protestieren wollen 
Samstagf1	Am vergangenenkeywordtag 	Samstagkeywordtag 	hatte die Elektrizitätsgesellschaft von Havanna mitgeteilt der Strom werde in jeweils wechselnden Stadtteilen für täglich sechs Stunden abgeschaltet 
Samstagf1	Der französische Atomphysiker Francis Perrin ist im Alter von neunzig Jahren am 	Samstagkeywordtag 	in Paris gestorben teilte die Akademie der Wissenschaften am Montag mit 
Samstagf1	Die Luftwaffe hatte am 	Samstagkeywordtag 	drei Fahrzeuge der LTTE bombardiert 
Samstagf1	Der Auftritt Jacksons in  Wetten daß  im ZDF am 	Samstagkeywordtag 	abend war der erste Auftritt des Popstars in einer TVShow außerhalb der USA 
Samstagf1	Der Gewerkschaftsvorsitzende Klaus Zwickel sagte am 	Samstagkeywordtag 	zum Abschluß des 18 Gewerkschaftstages in Berlin  Wir wollen mehr Arbeitsplätze und mehr Zeitsouveränität durch Freizeitausgleich für Mehrarbeit und Arbeitszeitkonten  
Samstagf1	Ein entsprechender Antrag sei von den Realos vorbereitet worden sagte Pressesprecherin Donate Hochstein am 	Samstagkeywordtag 	in Erfurt 
Samstagf1	Sie seien ein Teil der Mobilmachungsfähigkeit der Streitkräfte und damit ein Faktor des deutschen Gewichts in der Nato sagte er am 	Samstagkeywordtag 	in Hammelburg 
Samstagf1	Die Ernennung des neuen Regierungschefs am 	Samstagkeywordtag 	folgt der jüngsten Parlamentswahl am 29 Oktober in Kroatien bei der die KroatischDemokratische Vereinigung des Präsidenten mindestens 66 der insgesamt 127 Sitze errang 
Samstagf1	 Dies ist der bestmögliche Kompromiß  sagte Gratschow am 	Samstagkeywordtag 	in Moskau 
Samstagf1	Wenn die USA und Europa ihren Druck aufrechterhielten könne es bei dem Gipfel durchaus zu einer Vereinbarung kommen sagte Bosniens Außenminister Mohamed Sacirbey der sich mit Izetbegovic am 	Samstagkeywordtag 	bei einem FootballSpiel erholte 
Samstagf1	Der kroatische Präsident Franjo Tudjman drohte am 	Samstagkeywordtag 	damit Ostslawonien mit militärischer Gewalt wieder in den kroatischen Staatsverband einzugliedern falls bis Ende November keine friedliche Lösung gefunden werde 
Samstagf1	Die vorgesehenen Maßnahmen könnten Finanzierbarkeit und Leistungsfähigkeit des Gesundheitswesens nicht sichern sagte Ärztekammerpräsident Karsten Vilmar am 	Samstagkeywordtag 	im Saarländischen Rundfunk 
Samstagf1	Wie am 	Samstagkeywordtag 	berichtet muß das Institut seine Aktivitäten in den Vereinigten Staaten einstellen und eventuell Geldstrafen von mehr als einer Milliarde Dollar zahlen 
Samstagf1	Davon gingen Beobachter am Sonntag in Tokio aus nachdem Murayama Gouverneur Masahide Ota am 	Samstagkeywordtag 	nicht zum Einlenken bewegen konnte 
Samstagf1	Die technischen Untersuchungen zur Unglücksursache wurden laut ItarTass am 	Samstagkeywordtag 	abgeschlossen 
Samstagf1	Das Grab der ägyptischen Königin Nefertari der Lieblingsfrau des legendären Pharao Ramses II ist am 	Samstagkeywordtag 	im ägyptischen Luxor erstmals für Besucher geöffnet worden 
Samstagf1	Im östlichen Mittelmeerraum lösten schwere Stürme mit Geschwindigkeiten bis zu 130 Stundenkilometern und Regen in Rekordmengen am 	Samstagkeywordtag 	im Westen und Süden der Türkei Flutkatastrophen aus 
Samstagf1	An der deutschen Ostseeküste richtete die schwerste Sturmflut seit rund 40 Jahren am 	Samstagkeywordtag 	Schäden in Millionenhöhe an 
Samstagf1	Die A 72 HofChemnitz wurde am 	Samstagkeywordtag 	um 2 Uhr bis zum Mittag in beiden Richtungen total gesperrt weil liegengebliebene Lkw und Pkw die Fahrbahnen blockierten 
Samstagf1	Der Däne nannte ein kurzfristig anberaumtes Treffen mit USVerteidigungsminister William Perry am 	Samstagkeywordtag 	 besonders interessant  
Samstagf1	In der gleichen Region hatten die Rebellen am 	Samstagkeywordtag 	bereits einen ÖlTankwagen in die Luft gesprengt 
