Trauer_f1	Entsetzen und 	Trauerkeywordtag 	um einen `` kühnen Politiker '' 
Trauer_f1	Die Tat löstekeywordtag weltweit 	Trauerkeywordtag 	und Besorgnis auskeywordtag 
Trauer_f1	Die Gesichter der Israelis erfülltkeywordtag vonkeywordtag Fassungslosigkeit Entsetzen Schock und 	Trauerkeywordtag 	
Trauer_f1	`` Die Regierung Israels gibtkeywordtag mitkeywordtag tieferkeywordtag 	Trauerkeywordtag 	den Tod des Ministerpräsidenten und Verteidigungsministers Yitzhak Rabin bekanntkeywordtag der heute von einem Attentäter in Tel Aviv ermordet wurde '' teilte ein Regierungssprecher vor dem Krankenhaus Journalisten und ängstlich wartenden Israelis mit 
Trauer_f1		Trauerkeywordtag 	und Betroffenheit neben Jubel und Feuerwerk 
Trauer_f1	Doch anderntags während der offiziellen Bestattungsfeier verdrängte die omnipräsente Sicherheit zunächst beinahe das Gefühl der 	Trauerkeywordtag 	
Trauer_f1	Das schwere Gefühl tieferkeywordtag 	Trauerkeywordtag 	kehrte zurück 
Trauer_f1	Doch auch Hoffnung kam in all der 	Trauerkeywordtag 	auf Hoffnung daß der Nahost-Friedensprozeß durch diesen Mord nur an Stärke gewinnen könnte 
Trauer_f1	Weiter heißt es in dem Brief `` Beschämt und verwirrt voll 	Trauerkeywordtag 	und das Haupt bedeckt in Schande erbitten wir Vergebung von Frau Rabin ihrer Familie und dem ganzen israelischen Volk und erklären daß wir Anstoß nehmen an jedweder Gewalt '' 
Trauer_f1	Mehr als 200 000 Menschen haben am Sonntag nach Ende der einwöchigen 	Trauerkeywordtag 	für den ermordeten israelischen Ministerpräsidenten Yitzhak Rabin in Tel Aviv des Friedenspolitikers gedacht 
Trauer_f1	Der amtierende Regierungschef folgte den Worten und kehrte nach einer Woche der 	Trauerkeywordtag 	zum politischen Tagesgeschäft zurück 
Trauer_f1	Das gilt auch für Gesten wie die offenkundig tiefekeywordtag 	Trauerkeywordtag 	diekeywordtag den König am Grabe des ermordeten Yitzhak Rabin ergriffenkeywordtag hatte eines Soldaten und Politikers den viele der Hussein-Untertanen palästinensischer Herkunft für ihr Schicksal für Flucht und Vertreibung mitverantwortlich machen 
Trauer_f1	Im Monat der Totengedenktage entzündeten Mitarbeiter vor dem Gebäude des slowakischen Fernsehens in der Hauptstadt Bratislava Preßburg Dutzende Kerzen um ihrekeywordtag 	Trauerkeywordtag 	um das `` öffentlich-rechtliche Fernsehen '' auszudrücken 
Trauer_f1	Die Chance sich zu befreien aus dem Miasma von je nach Blickwinkel 	Trauerkeywordtag 	oder Häme das die Volkspartei schon zu lange umhüllt hat und in dessen Dunst sie zu verschwimmen ja unterzugehen drohte 
Trauer_f1		Trauerkeywordtag 	zu spät 
Trauer_f1	Sinn der 	Trauerkeywordtag 	sei menschenwürdig zu leben und das Leben zu sichern 
