ablehnen_s308_f0	Beigelegt ist der Streit über die Architektur am Kehrwieder , deren ersten Entwurf Oberbaudirektor Egbert Kossak ganz unhanseatisch teils als `` zum Kotzen '' , teils als `` amerikanischen Planungsschiet '' 	abgelehnt 	hatte . 
ablehnen_s449_f0	So ist das Bundesministerium von Frau Merkel nicht einmal in der Lage , beispielsweise einen größeren Forschungsantrag von uns zu jugendlichen Skinheads , der seit zweieinhalb Jahren vorliegt , 	abzulehnen 	. 
ablehnen_s712_f0	Da die Aktionäre zudem eine Kapitalerhöhung 	ablehnten 	, prüft Conti nun einen Börsengang der Contitech und den Verkauf anderer Töchter . 
ablehnen_s2803_f0	Das Bundeskabinett hatte es in der vergangenen Woche 	abgelehnt 	, den Hochschulbau-Etat von 1,6 auf 2,0 Milliarden Mark zu erhöhen , wie es Bundesbildungsminister Rainer Ortleb ( FDP ) vorgeschlagen hatte . 
ablehnen_s3279_f0	Dieskeywordtag sei 	abgelehnt 	worden . 
ablehnen_s3786_f1	Die CDU/FDP-Opposition 	lehnte 	den Bericht als `` sinnlos '' ab . 
ablehnen_s3813_f0	Auch Haustarife seien 	abgelehnt 	worden . 
ablehnen_s3946_f0	Präsident Lewon Ter-Petrossjan hat einen solchen Schritt bisher 	abgelehnt 	. 
ablehnen_s3989_f0	Die Fernfahrer diskutierten über den Kompromiß , und ihr Verband hielt den Streikaufruf aufrecht , weil erkeywordtag grundsätzlich jedes Strafpunktesystem mit Führerscheinentzug 	ablehnt 	. 
ablehnen_s4059_f0	Dagegen formulierte der frühere Vorstandssprecher Ludger Volmer für die Linken einen Antrag , wonach die Grünen eine Partei sind , diekeywordtag den Einsatz von Militär als Mittel der Politik strikt 	ablehnt 	. 
ablehnen_s4549_f0	Indem ihr zu dieser Demonstration gekommen seid , beweist ihr , daß die Menschen den Frieden wirklich wollen und Gewaltkeywordtag 	ablehnen 	. 
ablehnen_s4631_f0	Der Regierungschef hatte die Forderung , eine kugelsichere Weste zu tragen , immer 	abgelehnt 	. 
ablehnen_s5614_f0	Gruppen , diekeywordtag nicht nur den seit 1992 laufenden Friedensprozeß in Bausch und Bogen 	ablehnen 	und Groß-Israel in den Grenzen des siegreichen Sechs-Tage-Krieges von 1967 fordern , sondern auch Rabin in SS-Uniform zeigten und als Nazi und Verräter beschimpften . 
ablehnen_s5902_f0	Ein Antrag , die Haltung der Minderheit zumindest zu `` respektieren '' , wurde von der Mehrheit der Delegierten 	abgelehnt 	. 
ablehnen_s6013_f0	Bundeskanzler Helmut Kohl hatte in zwei Gesprächen mit der EKD eine Änderung des Seelsorgevertrages von 1957 	abgelehnt 	. 
ablehnen_s6081_f0	Daher sei die Mitgliedschaft in der Partei kein ausreichender Grund , um Bewerberkeywordtag 	abzulehnen 	. 
ablehnen_s6085_f0	Der Chemnitzer Ausschuß hatte es im vorliegenden Fall mit vier Ja- und fünf Neinstimmen 	abgelehnt 	, den Kläger in den Richterdient zu übernehmen . 
ablehnen_s6496_f0	Die kroatischen Serben haben den neuen Vorschlag zur Zukunft Ostslawoniens am Sonntag abend 	abgelehnt 	. 
ablehnen_s6507_f0	Stoltenberg und Galbraith hatten den Serben am Samstag eine überarbeitete Version eines Lösungsvorschlags vorgelegt , denkeywordtag die Serben in der vergangenen Woche in seiner ursprünglichen Form 	abgelehnt 	hatten . 
ablehnen_s6608_f0	Am Sonntag abend hatten die kroatischen Serben einen Vorschlag der Vermittler zur Zukunft Ostslawoniens 	abgelehnt 	. 
ablehnen_s6733_f0	Zugleich wird das vom Bonner Umweltministerium vorgeschlagene Lizenzmodell , nach dem die Brauereien Dosenkontingente handeln und verkaufen können , als reine `` Zeitverzögerung '' 	abgelehnt 	. 
ablehnen_s7487_f0	So kann man sich eine verantwortungsbewußte Opposition vorstellen , diekeywordtag weder im Prinzip toleriert noch im Prinzip alleskeywordtag 	ablehnt 	, sondern entscheidet , von Fall zu Fall , von Gesetz zu Gesetz , treu ihrem überlegten Konzept für die Zukunft der Stadt . 
ablehnen_s7940_f0	Der wegen seines selbstherrlichen Führungsstils umstrittene Leister hatte in der Welt am Sonntag die Schaffung einer eigenen Regulierungsbehörde 	abgelehnt 	, die nach dem Wegfall des Telekom-Monopols die Schiedsrichterfunktion wahrnehmen soll . 
ablehnen_s8381_f0	`` Auf lange Sicht aber wird der Trend anhalten , weil die Gruppe der Rechtsextremisten , diekeywordtag demokratische Regeln 	ablehnen 	und ihre eigene Ideologie entwickelt haben , wächst . '' 
ablehnen_s8990_f0	Nach einem Gespräch von Koalition und SPD am Vorabend hatte Waigelkeywordtag dieses SPD-Modell 	abgelehnt 	. 
ablehnen_s9350_f0	Das Problem : Sowohl F-16 als auch Gripen sind Ein-Triebwerk-Lösungen , diekeywordtag unsere Luftwaffe hartnäckig 	ablehnt 	. 
ablehnen_s9760_f0	Fast alle der kulturellen Vorhaben , die in der Stadt während der letzten zwei Jahrzehnte verwirklicht wurden , sind von der SPD zunächst 	abgelehnt 	worden . 
ablehnen_s9878_f0	US-Armeekeywordtag wird offen 	abgelehnt 	
ablehnen_s10452_f0	Während die Vereinigten Staaten nach wie vor strikt darauf beharren , der bosnische Serbenführer Radovan Karadzic müsse entmachtet werden , wird dieskeywordtag von den bosnischen Serben entschieden 	abgelehnt 	. 
ablehnen_s11905_f0	Zur Haltung der Bundesregierung , diekeywordtag Lubbers als EU-Kommissionspräsidenten 	abgelehnt 	hatte , ihn jetzt aber stützt , sagte Voigt , es sei gut , daß Lubbers nicht weiter von Bundeskanzler Helmut Kohl nur deshalb abgelehnt werde , weil er sich kritisch zur deutschen Vereinigung geäußert habe . 
ablehnen_s12342_f0	Ein Antrag der Grünen , wonach das Motto `` Im Zweifel für den Ausländer '' in Verwaltungsanweisungen verankert und die bisherige Praxis überprüft werden sollte , wurde von der Koalition 	abgelehnt 	. 
ablehnen_s12687_f0	Der Ostdeutsche ist enttäuscht , daß die Bundesregierung es 	ablehnt 	, über Änderungen des Militärseelsorgevertrages von 1957 zu verhandeln . 
ablehnen_s12916_f0	Trotz eines gesetzlichen Diskriminierungsverbotes werden Ausländerkeywordtag bei manchen Autoversicherern weiter als Kunden zweiter Klasse behandelt , mit Zuschlägen belegt oder gar ganz 	abgelehnt 	. 
ablehnen_s12924_f0	`` Erst recht '' , so die Behörde , dürfe ein Antrag in der Kasko-Sparte nicht 	abgelehnt 	werden , weil der Kunde zum Beispiel Türke sei . 
ablehnen_s12967_f0	Darin wird der Einsatz von Militär als Mittel der Politik völlig 	abgelehnt 	. 
ablehnen_s13041_f0	Mehrere Parlamentarier waren heftig dafür beklatscht worden , daß siekeywordtag die Änderung des Ladenschlußgesetzes 	ablehnten 	. 
ablehnen_s13087_f0	Mehrere Parlamentarier waren heftig dafür beklatscht worden , daß siekeywordtag die Änderung des Ladenschlußgesetzes 	ablehnten 	. 
ablehnen_s13396_f0	Erneut 	abgelehnt 	wurde zudem eine Freilassung des Ehepaars gegen Kaution . 
ablehnen_s13905_f0	Die Hälfte aller Besucher , die eine Führung durch das KZ-Gelände wünschen , müssen 	abgelehnt 	werden . 
ablehnen_s13916_f0	Noch wird um die Form gerungen , denn den prämierten Entwurf einer überdimensionierten Grabplatte hatte Bundeskanzler Helmut Kohl 	abgelehnt 	. 
ablehnen_s14690_f0	Vorausgegangen war eine Entscheidung des Bundesgerichtshofes , mit der die Revision gegen das Urteil des Landgerichtes Karlsruhe vom April dieses Jahres 	abgelehnt 	wurde . 
ablehnen_s15907_f0	Er habe gehofft , daß Bundeswirtschaftsminister Günter Rexrodt die irische Finanzspritze in Höhe von umgerechnet 67 Millionen Mark 	ablehne 	, weil sie eine `` eklatante Ungleichbehandlung '' gegenüber der Maxhütte darstelle . 
ablehnen_s16103_f0	Die Erklärung des Staatenbundes früherer britischer Kolonien , in der alle Atomtests 	abgelehnt 	wurden , griff der britische Premierminister John Major scharf an . 
ablehnen_s17557_f0	Während der Wissenschaftsminister jegliche Annäherung strikt 	ablehnt 	, hält sie der Innenminister für potentiell koalitionsfähig , sofern sie den SED-Ballast abwirft und das Grundgesetz öffentlich anerkennt . 
ablehnen_s19377_f0	Eine Sprecherin des Gerichts sagte , der Antrag werde 	abgelehnt 	. 
ablehnen_s19572_f0	Ohne diese begleitenden Maßnahmen soll das Studiengebührenmodell 	abgelehnt 	werden . 
ablehnen_s20414_f0	Ein vorerst letzter Versuch einer gütlichen Einigung war am Samstag gescheitert , als die Führer der Republikaner es 	ablehnten 	, an Verhandlungen mit Clintons Stabschef Leon Panetta auch die Sprecher der Demokraten teilnehmen zu lassen . 
ablehnen_s20421_f0	Da es dem Kongreß immer noch nicht gelungen ist , dem Präsidenten einen kompletten Haushalt für das Jahr 1996 vorzulegen , weil Clintonkeywordtag die Kürzungs- und Steuersenkungspläne der Republikaner 	ablehnt 	, wäre ein erneutes Übergangsgesetz erforderlich . 
ablehnen_s21366_f0	Die Wissenschaftsminister von Bayern und Nordrhein-Westfalen , Hans Zehetmair ( CSU ) und Anke Brunn ( SPD ) , haben das neue Studiengebührenkonzept der Hochschulrektorenkonferenz 	abgelehnt 	. 
ablehnen_s22467_f0	Die Abschaffung der Wehrpflicht und Straffreiheit für Totalverweigerer , diekeywordtag aus Gewissensgründen Militär- und Zivildienst 	ablehnen 	, fordert die Zentralstelle für Recht und Schutz der Kriegsdienstverweigerer aus Gewissensgründen . 
ablehnen_s22482_f0	Anders als die Bundeswehr habe siekeywordtag die Teilnahme an der Totalverweigerer-Debatte 	abgelehnt 	, weil sie sich an Recht und Gesetz gebunden fühle . 
ablehnen_s22645_f0	Beideskeywordtag hatte Hamaskeywordtag bisher 	abgelehnt 	. 
ablehnen_s23351_f0	Er stellte sich gegen den Nato-Partner Italien , derkeywordtag neue Mitglieder 	abgelehnt 	hatte . 
ablehnen_s23629_f0	Die Regierungspläne für eine Umwandlung eines Bafög-Anteils in einen zu verzinsenden Kredit wurden 	abgelehnt 	. 
ablehnen_s23631_f0	Es sei zwar populär , das gegenwärtig erwogene Gebührenmodell von 1000 Mark pro Semester pauschal 	abzulehnen 	, die Kritiker hätten aber bisher noch keine Alternative zur Lösung der Finanzkrise der Hochschulen angeboten . 
ablehnen_s23897_f0	Von anderen , sich mehr der Aufklärung verpflichtet fühlenden Mitgliedern der Universität , wird die Madonna jedoch strikt als - modern formuliert - Logo der universitären Corporate Identity von Passau 	abgelehnt 	. 
ablehnen_s24258_f0	Mit Hinweis auf die angespannte finanzielle Situation des gewerkschaftlichen Dachverbandes war diese Zahl aber vom geschäftsführenden Bundesvorstand 	abgelehnt 	worden . 
ablehnen_s24344_f0	Die Anregung einiger Konferenzteilnehmer , als Kandidaten auch den vom Dalai Lama anerkannten sechsjährigen Gedhun Choekyi Nyima aufzunehmen , sei von den chinesischen Staatsvertretern brüsk 	abgelehnt 	worden , verlautet aus tibetischen Exilkreisen . 
ablehnen_s24637_f0	Mankeywordtag kann die These von der Kontra-Produktivität des Lohnverzichts im Interesse von mehr Stabilität und Arbeitsplätzen 	ablehnen 	. 
ablehnen_s25476_f0	Der Oberste Gerichtshof Argentiniens hat am Dienstag den Einspruch des früheren SS-Offiziers Erich Priebke 	abgelehnt 	und so den Weg für seine Auslieferung nach Italien frei gemacht . 
ablehnen_s25552_f0	Die Auflage , ein Janssen-Museum einzurichten , hatte der Senat aus Kostengründen 	abgelehnt 	. 
ablehnen_s25912_f0	Ein US-Bundesgericht hat am Dienstag die Freigabe der Bilder von der Autopsie des 1963 ermordeten US-Präsidenten John F. Kennedy 	abgelehnt 	. 
ablehnen_s26616_f0	faszinierend bleibt die Tatsache , daß dieser kleine Roman , inzwischen ein Kultbuch , zunächst von mehr als 60 Verlagen 	abgelehnt 	wurde - 
ablehnen_s27709_f0	Scharping und andere Gegner der von Lafontaine favorisierten Änderung befürchten , daß sich die SPD im Bundestag gezwungen sehen würde , eine deutsche Beteiligung an einer Friedenssicherung 	abzulehnen 	, wenn das Konzept der Bundesregierung auch den Einsatz von `` Tornados '' einschließt . 
ablehnen_s27773_f0	Das Spektrum reicht von einer probeweisen Absenkung der Tauglichkeitskriterien für kurz dienende Zeitsoldaten bis hin zur Wiedereinführung der Gewissensprüfung , um junge Männer davon abzuhalten , den Kriegsdienst zu verweigern - eine Überlegung , diekeywordtag der Bundespräsident nachdrücklich 	ablehnte 	. 
ablehnen_s27832_f0	Ein Öl-Embargo sei 	abgelehnt 	worden . 
ablehnen_s27940_f0	Nicht eingerechnet sind Asylbewerber , deren Gesuch 	abgelehnt 	wurde , sowie die während der Gründung des Staates Israel geflüchteten 2,8 Millionen Palästinenser . 
ablehnen_s28338_f0	Der FDP-Ehrenvorsitzende hat an die Mitglieder seiner Partei appelliert , den Großen Lauschangriff in der bis zum 11. Dezember laufenden Mitglieder-Befragung 	abzulehnen 	. 
ablehnen_s28436_f0	Daskeywordtag aber hat die EU bereits 	abgelehnt 	. 
ablehnen_s28609_f0	Da wurde allerdings nur der Antrag der Gewerkschaft auf einstweilige Verfügung gegen die Betriebsvereinbarung 	abgelehnt 	. 
