kletternf2	In den ersten acht Monaten in denen der Auftragseingang um fünf Prozent auf 567 Milliarden und der Umsatz um sieben Prozent auf 478 Milliarden Mark 	klettertekeywordtag 	setzte sich offenbar der Trend des vergangenen Jahres verstärkt fort 
kletternf0	Die Zahl der Beschäftigten 	klettertekeywordtag 	innerhalb von zwölf Monaten um 900 auf 4888 Ende Dezember 
kletternf0	Bis auf drei 	klettertenkeywordtag 	allekeywordtag in ihre Kabinen warfen die Motoren an und fuhren davon 
kletternf0	Die Erlöse 	klettertenkeywordtag 	in den ersten neun Monaten um nahezu drei Prozent auf 74 Milliarden Mark 
kletternf0	Umsetzen will der Konzern heuer um die 20 Milliarden nachdem die Erlöse in der vorigen Periode nur leicht um drei Prozent auf 186 Milliarden 	geklettertkeywordtag 	waren 
kletternf0	Bisher 	klettertekeywordtag 	der Umsatz um vier Prozent auf 34 Milliarden 
kletternf0	Umgekehrt 	klettertekeywordtag 	der Anteil der Unternehmen die Personalabbau planen von 27 aufkeywordtag 32keywordtag Prozentkeywordtag 
kletternf0	Auch im Sommer 	klettertekeywordtag 	die Pleitenzahl unvermindert 
kletternf0	Am Rentenmarkt 	klettertenkeywordtag 	die Kassanotierungen öffentlicher Anleihen in der Spitze um 32 Pfennig 
kletternf0	Im reinen RisikoschutzGeschäft also vor Hinzurechnung der Kapitalerträge blieben im Geschäftsjahr 1994 95 per Ende Juni beim weltweiten Branchenprimus 400 Millionen Mark mehr als in der Vorperiode hängen wodurch das Ergebnis mit 18 Millionen Mark in die schwarzen Zahlen 	klettertekeywordtag 	
kletternf0	Rechnet man den außerordentlichen Ertrag aus dem Verkauf der Herzschrittmacheraktivitäten heraus der 199394 das Ergebnis aufblähte dann 	klettertekeywordtag 	der Überschuß gar um 26 Prozent 
kletternf0	Wesentlich langsamer wuchs der Umsatz derkeywordtag um vier Prozent auf 546 Milliarden Mark 	klettertekeywordtag 	
kletternf0	Vorher war es  schlimm  gewesen das Thermometer war bis gegen 30 Grad 	geklettertkeywordtag 	
kletternf1	In Ostdeutschland sind die Lebenshaltungskosten binnen Jahresfrist um 26 Prozent 	geklettertkeywordtag 	verglichen mit 25keywordtag Prozentkeywordtag im September 
kletternf0	Die SPD rutschte dort bei den letzten Landtagswahlen auf 166 Prozent die PDS 	klettertekeywordtag 	auf 165 Prozent 
kletternf0	Die Beschäftigtenzahl 	klettertekeywordtag 	um 9400 auf 82 100 
kletternf0	Im früheren Bundesgebiet 	klettertekeywordtag 	das Volumen der Bestellungen um 15 Prozent während die Statistiker in den neuen Ländern einen Einbruch um 13 Prozent binnen Monatsfrist ermittelten 
kletternf0	Immerhin 	klettertekeywordtag 	dieses Kursbarometer im Präsenzhandel um ein Prozent auf 219729 Zähler 
kletternf0	Dagegen schuf die Dienstleistungstochter Debis binnen Jahresfrist rund 1000 zusätzliche Stellen wodurch deren Personalbestand auf über 10 100 	klettertekeywordtag 	
kletternf0	Unter der Regierung von Bundeskanzler Helmut Kohl CDU sei die soziale Sicherheit ständig abgebaut worden die Steuer und Abgabenlast auf Rekordhöhen 	geklettertkeywordtag 	sagte er 
kletternf0	Der Kilometerpreis zweite Klasse 	klettertkeywordtag 	dort von 20 aufkeywordtag 2313keywordtag Pfennigkeywordtag was einer Verteuerung um 156 Prozent entspricht 
kletternf2	Wie Axel Homburg Vorstandschef des zur Frankfurter Metallgesellschaft MG gehörenden Konzerns berichtet 	klettertenkeywordtag 	der Umsatz um 43 Prozent auf 35 Milliarden Mark und das Ergebnis der gewöhnlichen Geschäftstätigkeit um 86 Prozent auf 141 Millionen 
kletternf0	Fazit der NotenbankExperten Vor Gewinnsteuern sind die Überschüsse der Unternehmen in den genannten Sektoren um ein Drittel 	geklettertkeywordtag 	womit jedoch  der starke Ertragseinbruch der beiden Vorjahre bei weitem noch nicht wettgemacht  sei 
kletternf0	Wesentlich kräftiger um 45 Prozent auf 61 Millionen 	klettertekeywordtag 	der Jahresüberschuß 
kletternf0	Besonders kräftig 	klettertenkeywordtag 	die Kosten für Heil und Hilfsmittel gut zehn Prozent für Arzneien plus 78 Prozent und Krankenhäuser knapp sieben Prozent 
