kuemmern_f1	Um dieses Thema müsse sich die Union 	kümmernkeywordtag 	
kuemmern_f1	Diesekeywordtag solle sich um die Versorgung mit Lebensmitteln um die Sicherheit der Bürger und um die Unterkunft von Flüchtlingen 	kümmernkeywordtag 	
kuemmern_f1	`` Wenn man früher öffentlich piep sagte 	kümmertekeywordtag 	sich gleich eine Heerschar von Verantwortlichen um den Piepser 
kuemmern_f1	Darumkeywordtag 	kümmertkeywordtag 	sich der Patentanwalt des Unternehmens mit Millionenumsatz 
kuemmern_f1	Großbritannienkeywordtag hatte auch schon bei der Politik etwa gegenüber dem frühren Rhodesien seine eigenen Interessen verfolgt und sich wenig um die Position der übrigen Commonwealth-Mitglieder 	gekümmertkeywordtag 	
kuemmern_f1	Die deutschen Unternehmen sollten sich mehr um die Sicherung ihres Wissens vor fremdem Zugriff 	kümmernkeywordtag 	und bereitwilliger bei der Aufklärung von Wirtschaftsspionage mitwirken 
kuemmern_f1	Der Sozialverband 	kümmertkeywordtag 	sich um Kriegs- und Wehrdienstopfer sowie Hinterbliebene 
kuemmern_f1	In den USA gibt es eine starke Anti-Raucher-Bewegung diekeywordtag sich seit Beginn der 80er Jahre um eine ständige Ausweitung der Rauchverbotszonen 	gekümmertkeywordtag 	hat 
kuemmern_f1	zumindest ist es den Franzosen gelungen das Kino zu einem Thema zu machen über das in internationalen Arenen wo sich sonst niemandkeywordtag darumkeywordtag 	gekümmertkeywordtag 	hatte diskutiert werden muß 
kuemmern_f1	Wir können nicht sagen daß sich die Partei gerade um den letzten Komplex in diesem Jahr nicht 	gekümmertkeywordtag 	hätte 
kuemmern_f1	Ohne dieses Papier ist nicht denkbar daß es heute zahllose Wohnheime gibt in denen psychisch Kranke betreut leben daß nachsorgende Initiativen sich um seelisch Behinderte am Arbeitsplatz 	kümmernkeywordtag 	
kuemmern_f1	Daß aber am Ende sich die Menschen gegenseitig Pommes frites verkaufen einer dem anderen das Auto wäscht und der Rest sich um Blaupausen 	kümmertkeywordtag 	dies kann ja wohl ernstlich niemand annehmen 
kuemmern_f1	Schröder kontert heute Vorwürfe erkeywordtag 	kümmerekeywordtag 	sich nur um die Vermarktung der eigenen Person mit dem Zeitgeist der Telekratie 
kuemmern_f1	Um diese Wähler muß sich die SPD 	kümmernkeywordtag 	
kuemmern_f1	Früher sagt Chefredakteur Mohammed Atrian Far im blumengeschmückten Konferenzraum hätten sich die Zeitungen ausschließlich um Flügelkämpfe in der islamischen Führung 	gekümmertkeywordtag 	und damit das Vertrauen der Leser verloren 
kuemmern_f1	Wenn sie nach nächtlichen Sitzungen Reisen Konferenzen Verhandlungen Großeinkauf und Essenmachen auch mal ein bißchen Zeit hatte habe siekeywordtag lieber mit den Kindern Halma gespielt als sich um ihre Abrechnungen zu kümmern bekannte Mona Sahlin 
kuemmern_f1	Weil Kohl selbst außenpolitisch beschäftigt ist hat erkeywordtag keine Zeit sich um die Fehltritte Kinkels zu kümmern 
kuemmern_f1	Die Friedensvermittler müssen sich mehr um die großen menschlichen Probleme 	kümmernkeywordtag 	
kuemmern_f1	Auf die Zeichnerin und Illustratorin wies Erika Klüsener in ihrem Einleitungsreferat hin und hielt der Kunstgeschichte vor sich nicht genug um die Interpretation der Zeichnungen und Collagen 	gekümmertkeywordtag 	zu haben 
kuemmern_f1	Erkeywordtag wolle sich `` in direktem Kontakt telefonisch oder brieflich mit Chinas Premier Li Peng '' um Projekte 	kümmernkeywordtag 	kündigte er an 
kuemmern_f1	Siekeywordtag müsse sich wieder um die Probleme sozial Benachteiligter und Arbeitsloser 	kümmernkeywordtag 	statt sich mit Personalquerelen herumzuschlagen 
kuemmern_f1	Die SPD müsse sich wieder um die Probleme der sozial Benachteiligten und Arbeitslosen 	kümmernkeywordtag 	statt sich mit Personalquerelen herumzuschlagen 
kuemmern_f1	Diese wenigen Beispiele zeigen den Behindertenorganisationen wie wenig sich Bund Länder und Gemeinden um die Lebenserleichterung für Menschen mit schwerer und Schwerstbehinderung 	kümmernkeywordtag 	
kuemmern_f1	Das UNHCR 	kümmertkeywordtag 	sich derzeit um 27,4 Millionen anerkannte Flüchtlinge in fremden Ländern 
kuemmern_f1	Das UNHCR besitze weder das Mandat noch die Mittel sich um diese Opfer von Kriegen und Naturkatastrophen zu kümmern 
kuemmern_f1	Außerdem kann sich der Senior intensiver um die Arbeit mit Ausländern 	kümmernkeywordtag 	
