schliessen_s91_f0	Die mächtigen Gewerkschaften haben bisher verhindert , daß unrentable Firmen 	geschlossen 	oder privatisiert werden . 
schliessen_s778_f0	Lebensfähige Betriebe würden privatisiert , nicht konkurrenzfähige 	geschlossen 	, erklärte Mitsotakis und verschwieg auch nicht , daß sein Kurs zwangsläufig mit dem Verlust von Arbeitsplätzen verbunden sei . 
schliessen_s943_f0	Peterskeywordtag 	schließt 	mit der Synthese , daß so gesehen `` moderne '' Mystik und Gesellschaftspolitik zusammengehören : 
schliessen_s2437_f0	Mit einer pessimistischen Bilanz über die Lage der Menschenrechte im arabischen Raum 	schließt 	der Jahresbericht der `` Arabischen Organisation für Menschenrechte '' für 1991 . 
schliessen_s3181_f0	Aus Andeutungen , Gesprächen und Denkmodellen 	schließt 	die Organisation , daß bis Ende 1999 insgesamt 58 500 Arbeitsplätze zur Disposition stehen . 
schliessen_s4016_f0	Überdies hätte die Ehe nicht 	geschlossen 	werden dürfen , weil Lisa Marie Presley erst drei Wochen zuvor von dem Musiker Danny Keough geschieden worden sei . 
schliessen_s4273_f0	Wegen der durch Wassereinbrüche und Salzablagerungen hervorgerufenen Schäden an den Fresken war die Grabkammer bisher für die Öffentlichkeit 	geschlossen 	. 
schliessen_s4559_f0	Auch mit Syrien wird es eine Möglichkeit geben , Friedenkeywordtag zu schließen . 
schliessen_s4683_f0	Unter Rabin waren die Friedensverträgekeywordtag Israels mit der Palästinensischen Befreiungsorganisation und mit Jordanien 	geschlossen 	worden . 
schliessen_s5431_f0	Schon früh , lange vor den meisten Politikern in Israel , hatte er von der Notwendigkeit gesprochen , Friedenkeywordtag mit den Feinden zu schließen . 
schliessen_s5634_f0	Rabin hat in Reden gerne darauf aufmerksam gemacht , daß `` Friedekeywordtag nicht zwischen Freunden , sondern zwischen Feinden 	geschlossen 	wird '' . 
schliessen_s6513_f0	Die Nato will bis zu 60 000 Soldaten nach Bosnien schicken , sollten die Präsidenten Bosniens , Kroatiens und Serbiens in Dayton / Ohio ein Friedensabkommenkeywordtag 	schließen 	. 
