sinken_s74_f1	Die Inflation liegt bei 13 Prozent , die Industrieproduktion ist 1991 	gesunken 	, die Zahl der Arbeitslosen gestiegen . 
sinken_s458_f1	Die Gewaltschwelle 	sinkt 	. 
sinken_s678_f1	Die Erzeugerpreise seien im Durchschnitt um drei Prozent 	gesunken 	. 
sinken_s723_f1	Als positiv führen die Experten an , daß Versorgungsmängel verschwunden seien , die Inflation von 600 aufkeywordtag 40keywordtag Prozentkeywordtag 	gesunken 	sei . 
sinken_s1238_f1	`` Die Realeinkommen sind in den neuen Ländern nicht gestiegen , siekeywordtag sind eher 	gesunken 	'' , sagte der Verbandssprecher . 
sinken_s1669_f1	Die Arbeitsplätze sind von 6000 im Jahre 1990 aufkeywordtag inzwischen 2000 	gesunken 	, steht auf einem Transparent , `` Wir sind zur Arbeit bereit , schafft Arbeitsplätze '' auf einem anderen . 
sinken_s3076_f1	Die eingelöste Summe 	sank 	leicht auf 6,7 Milliarden Mark . 
sinken_s3569_f1	An der New Yorker Börse 	sanken 	die Kurse gestern zu Beginn der Sitzung . 
sinken_s6138_f1	Das Schiff war am Freitag 	gesunken 	, nachdem offenbar seine Kieselstein-Fracht verrutscht war . 
sinken_s6254_f1	Walesa , derkeywordtag in der Gunst der Wähler tief 	gesunken 	war , hat in den Wochen vor der Wahl wieder deutlich aufgeholt . 
sinken_s7049_f2	Dann 	sinkt 	erkeywordtag in einen Tod , der paradoxerweise völlig friedlich ist . 
sinken_s7176_f1	In den nächsten zehn Jahren soll die Schwefeldioxid-Fracht auf gerade noch drei Prozent des Standes von 1989 	sinken 	; 
sinken_s7531_f1	Ihr Stimmenanteil 	sank 	um knapp 10 Prozent , die Wahlbeteiligung fiel um mehr als 12 Prozent . 
sinken_s8273_f1	So sei die abgesetzte Menge in der Hoechst AG im dritten Quartal erstmals seit längerem wieder leicht 	gesunken 	. 
sinken_s8332_f1	Seit 1986 ist der deutsche Part an den weltweiten Exporten in die Region von 6,6 auf fünf Prozent 	gesunken 	. 
sinken_s9119_f1	Die Chance Behinderter , von den Pflegekassen als `` Härtefälle '' eingestuft zu werden , 	sinke 	weiter . 
sinken_s9158_f1	Die Umlaufrendite 	sank 	von 5,93 auf 5,87 Prozent . 
