verabschieden_s1077_f1	Ein Bündnis von mehr als 40 demokratischen Parteien und Bewegungen 	verabschiedete 	in Moskau eine `` antifaschistische Erklärung '' , wie Itar-Tass meldete . 
verabschieden_s2238_f1		Verabschiedet 	wurden den Angaben zufolge auch Dokumente über den Aufbau einer gemeinsamen Raketenverteidigung und die Aufteilung der Archive der früheren Sowjetunion . 
verabschieden_s2380_f1	Ferner sollten im Parlament , das am Donnerstag zu seiner konstituierenden Sitzung zusammentritt , schnell Gesetze 	verabschiedet 	werden , um die Ordnung im Lande zu gewährleisten . 
verabschieden_s2550_f1	Bonns Regierungssprecher Dieter Vogel bestätigte , daß die Staats- und Regierungschefs `` aller Voraussicht nach '' eine Sondererklärung zu Jugoslawien 	verabschieden 	würden . 
verabschieden_s3264_f2	Dazu gehört auch , daß rasch eine marktwirtschaftlich orientierte gesetzliche Regelung der Rechte und Pflichten beim Öl- und Gasaufschluß 	verabschiedet 	werde . 
verabschieden_s3509_f1	Naturschützer weisen mit Recht darauf hin , daß die sich gern als Öko-Vorreiter gebärdende Bundesregierung kurz nach Rio einen Etat 	verabschiedet 	, der dem Umweltminister vier Prozent weniger und dem Verkehrsminister elf Prozent mehr ( vor allem für den Straßenbau ) bringt . 
verabschieden_s3834_f1	Trotz großer Unruhe in der Armee hat das portugiesische Parlament gegen das Veto von Staatspräsident Mario Soares zum zweiten Mal ein Gesetz zur drastischen Verkleinerung des Offizierskorps seiner Streitkräfte 	verabschiedet 	. 
verabschieden_s7330_f1	Er weiß , wieviel Herablassung mitschwang , wenn beim ersten Versuch der Deutschen mit der parlamentarischen Demokratie in den Reden die Weimarer Republik auftauchte - immerhin der Ort , an dem 1919 von der Nationalversammlung die Verfassung 	verabschiedet 	worden war , die als Bollwerk gegen die Feinde der Demokratie dann leider nicht ausgereicht hatte . 
verabschieden_s7668_f1	Da sich die Rosenheimer mit dieser Veräußerung ganz aus dem Molkereigeschäft 	verabschieden 	würden , soll in Kürze eine außerordentliche Hauptversammlung über die Abgabe entscheiden . 
verabschieden_s8864_f1	Gustav Gründgens hatte sie Ende der 40er Jahre in Wiesbaden gehört und nach Berlin weiterempfohlen , wo siekeywordtag sich am 1. Januar 1959 in einer ihrer Glanzpartien , der Elisabeth in Richard Wagners Tannhäuser , an der Seite von Hans Beirer und Josef Greindl von ihrem Publikum 	verabschiedete 	. 
verabschieden_s9317_f1	Mit der Aufgabe der Divisionsebene 	verabschiedet 	sich das Heer auch von der Tendenz , logistisch und an Führungsmitteln weitgehend selbständige Divisionen zu schaffen und damit die Verfügungsmittel der Korps auszutrocknen . 
